,동-연번,상세위치,도로명주소,위도,경도
95,청파동-21,"대로변 골목길 초입, 전봇대 옆 나대지",서울특별시 용산구 청파로43가길 10,37.5438115,126.9692119
96,청파동-22,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로73길 78,37.5503893,126.9680919
97,청파동-23,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로85길 33,37.5526338,126.9672419
98,청파동-24,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로85길 68,37.5526338,126.9672419
99,청파동-25,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로 373,37.5315648,126.9546494
100,청파동-26,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 효창원로104길 13,37.5504993,126.9650887
101,청파동-27,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 만리재로24길 19-4,37.5524232,126.9636704
102,청파동-28,주거밀집지역 골목길 및 계단길 초입,서울특별시 용산구 효창원로104라길 24,37.5508652,126.9656151
103,청파동-29,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로71길 52,37.5497292,126.9681029
104,청파동-30,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로71길 29-12,37.5497292,126.9681029
105,청파동-31,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로71나길 23,37.5486148,126.9677586
106,청파동-32,"주거밀집지역, 골목길",서울특별시 용산구 청파로57길 12-8,37.5468894,126.9691048
107,청파동-33,"대로변 골목길 초입, 전봇대 옆 ",서울특별시 용산구 청파로73다길 2,0.0,0.0
108,원효1동-1,상업지역,서울특별시 용산구 원효로56길 38,37.5342563,126.9631696
109,원효1동-2,쓰레기수거 거점지역,서울특별시 용산구 원효로77길 30,37.5390826,126.9656121
110,원효1동-3,골목 나대지,서울특별시 용산구 원효로97길 3,37.5425943,126.9686039
111,원효1동-4,골목 나대지,서울특별시 용산구 원효로89길 23,37.5402237,126.9681025
112,원효1동-5,골목 나대지,서울특별시 용산구 백범로77길 52,37.538527,126.9642124
113,원효1동-6,골목 나대지,서울특별시 용산구 원효로77길 32,37.5390826,126.9656121
114,원효1동-7,쓰레기수거 거점지역,서울특별시 용산구 원효로 227,37.5358175,126.962537
115,원효1동-8,골목 나대지,서울특별시 용산구 원효로71길 11,37.5382047,126.962996
116,원효1동-9,대로변,서울특별시 용산구 원효로 197-2,37.5358175,126.962537
117,원효1동-10,대로변,서울특별시 용산구 원효로 189-3,37.5358175,126.962537
118,원효1동-11,골목 나대지,서울특별시 용산구 원효로53길 9,37.5368062,126.9620418
119,원효1동-12,골목 나대지,서울특별시 용산구 청파로139-9,0.0,0.0
120,원효1동-13,골목 나대지,서울특별시 용산구 새창로45길 49,37.5349058,126.9645147
121,원효1동-14,이면도로 나대지,서울특별시 용산구 백범로77길 52,37.538527,126.9642124
122,원효1동-15,대로변,서울특별시 용산구 문배동 24-35,37.5367,126.96818
123,원효1동-16,이면도로 나대지,서울특별시 용산구 새창로45길 53,37.5349058,126.9645147
124,원효1동-17,이면도로 나대지,서울특별시 용산구 새창로45길 64,37.5349058,126.9645147
125,원효1동-18,버스정류장 인근 이면도로 초입,서울특별시 용산구 새창로146,0.0,0.0
126,원효1동-19,"관리사각지대(하천, 주차장 부지)",서울특별시 용산구 신계동23-16,0.0,0.0
127,원효로2동-1,"단독주택, 빌라 밀집 지역",서울특별시 용산구 효창원로 48-1,37.538939,126.9612671
128,원효로2동-2,"단독주택, 빌라 밀집 지역",서울특별시 용산구 원효로35길 29,37.5349488,126.9556765
129,원효로2동-3,,서울특별시 용산구 원효로41길 3,37.535986,126.9599579
130,원효로2동-4,상가 옆 골목 화단,서울특별시 용산구 원효로41길 15,37.535986,126.9599579
131,원효로2동-5,성심여고 벽화 전봇대 옆,서울특별시 용산구 원효로19길 59,37.533579,126.9572136
132,원효로2동-6,학원 옆 전봇대,서울특별시 용산구 효창원로 30,37.538939,126.9612671
133,원효로2동-7,녹지대,서울특별시 용산구 효창원로 28,37.538939,126.9612671
134,원효로2동-8,"단독주택, 빌라 밀집 지역",서울특별시 용산구 원효로19길 78,37.533579,126.9572136
135,원효로2동-9,상가 밀집 지역,서울특별시 용산구 원효로3가 1-160,37.53427,126.9578
136,원효로2동-10,"단독주택, 빌라 밀집 지역",서울특별시 용산구 효창원로23길 5,37.5360875,126.9548926
137,원효로2동-11,"단독주택, 빌라 밀집 지역",서울특별시 용산구 효창원로12길 42,37.5387485,126.9587269
138,효창동-1,도로변 버스정류장 앞,서울특별시 용산구 임정로 35,37.5467754,126.9622408
139,효창동-2,"주택밀집지역, 출입구 앞",서울특별시 용산구 임정로 13길,0.0,0.0
140,효창동-3,노후주택밀집지역,서울특별시 용산구 백범로 47길,0.0,0.0
141,효창동-4,나대지 앞 전신주,서울특별시 용산구 백범로 47길,0.0,0.0
142,효창동-5,"주택밀집지역, 전신주 옆",서울특별시 용산구 효창원로 146-20,37.538939,126.9612671
143,효창동-6,"주택밀집지역, 전신주 옆",서울특별시 용산구 백범로51길 26-7,37.5407275,126.9598659
144,효창동-7,"주택밀집지역, 주변 주택가 쓰레기 버리는 곳",서울특별시 용산구 효창원로 145-19,37.538939,126.9612671
145,용문동-1,"전신주옆, 도로변, 쓰레기 수거 거점지역",서울특별시 용산구 효창원로55길 15,37.5387506,126.9603329
146,용문동-2,"전신주옆, 도로변, 쓰레기 수거 거점지역",서울특별시 용산구 효창원로42길 38-14,37.5365675,126.959576
