연번,도로명주소,상세위치
원효1동-18,서울특별시 용산구 새창로146,버스정류장 인근 이면도로 초입
원효1동-19,서울특별시 용산구 신계동23-16,"관리사각지대(하천, 주차장 부지)"
원효로2동-1,서울특별시 용산구 효창원로 48-1,"단독주택, 빌라 밀집 지역"
원효로2동-2,서울특별시 용산구 원효로35길 29,"단독주택, 빌라 밀집 지역"
원효로2동-3,서울특별시 용산구 원효로41길 3,
원효로2동-4,서울특별시 용산구 원효로41길 15,상가 옆 골목 화단
원효로2동-5,서울특별시 용산구 원효로19길 59,성심여고 벽화 전봇대 옆
원효로2동-6,서울특별시 용산구 효창원로 30,학원 옆 전봇대
원효로2동-7,서울특별시 용산구 효창원로 28,녹지대
원효로2동-8,서울특별시 용산구 원효로19길 78,"단독주택, 빌라 밀집 지역"
원효로2동-9,서울특별시 용산구 원효로3가 1-160,상가 밀집 지역
원효로2동-10,서울특별시 용산구 효창원로23길 5,"단독주택, 빌라 밀집 지역"
원효로2동-11,서울특별시 용산구 효창원로12길 42,"단독주택, 빌라 밀집 지역"
효창동-1,서울특별시 용산구 임정로 35,도로변 버스정류장 앞
효창동-2,서울특별시 용산구 임정로 13길 4,"주택밀집지역, 출입구 앞"
효창동-3,서울특별시 용산구 백범로 47길 34,노후주택밀집지역
효창동-4,서울특별시 용산구 백범로 47길 42,나대지 앞 전신주
효창동-5,서울특별시 용산구 효창원로 146-20,"주택밀집지역, 전신주 옆"
효창동-6,서울특별시 용산구 백범로51길 26-7,"주택밀집지역, 전신주 옆"
효창동-7,서울특별시 용산구 효창원로 145-19,"주택밀집지역, 주변 주택가 쓰레기 버리는 곳"
용문동-1,서울특별시 용산구 효창원로55길 15,"전신주옆, 도로변, 쓰레기 수거 거점지역"
용문동-2,서울특별시 용산구 효창원로42길 38-14,"전신주옆, 도로변, 쓰레기 수거 거점지역"
용문동-3,서울특별시 용산구 새창로 115-7,전신주옆
용문동-4,서울특별시 용산구 효창원로 88,"좁은 도로, 아파트단지 인근, 재정비 지구, 주택가 "
용문동-5,서울특별시 용산구 새창로 105,"좁고 외진 골목, 주택가, 전신주"
한강로동-1,서울특별시 용산구 한강대로40길 118,
한강로동-2,서울특별시 용산구 한강대로46길 17-4,
한강로동-3,서울특별시 용산구 한강대로52길 17-9,
한강로동-4,서울특별시 용산구 한강대로52길 38,
한강로동-5,서울특별시 용산구 한강대로62길 75,
한강로동-6,서울특별시 용산구 한강대로62길 55,주차장 입구
한강로동-7,서울특별시 용산구 한강대로62길 45-16,
한강로동-8,서울특별시 용산구 이태원로2길 18,공원입구
한강로동-9,서울특별시 용산구 이태원로4길 14,
한강로동-10,서울특별시 용산구 한강대로57길 33,용산초교 앞
한강로동-11,서울특별시 용산구 한강대로 145,가로수 앞
한강로동-12,서울특별시 용산구 한강대로39길 34,
한강로동-13,서울특별시 용산구 새창로 213,
한강로동-14,서울특별시 용산구 한강대로 57,전신주 앞
한강로동-15,서울특별시 용산구 한강대로21길 29,전신주 앞
한강로동-16,서울특별시 용산구 한강대로15길 27,
한강로동-17,서울특별시 용산구 한강대로11길 25,
한강로동-18,서울특별시 용산구 한강대로 7길 23-4,
한강로동-19,서울특별시 용산구 한강대로10길 14,군부대 삼거리
한강로동-20,서울특별시 용산구 한강대로 92,
한강로동-21,서울특별시 용산구 이촌로29길 5,
한강로동-22,서울특별시 용산구 한강대로 10길 14,가스정압시설 앞
한강로동-23,서울특별시 용산구 한강대로 56-1,
한강로동-24,서울특별시 용산구 삼각지역 2번출구,
한강로동-25,서울특별시 용산구 한강대로 15길 2-9,
이촌1동-1,서울특별시 용산구 이촌로65가길 72,"담배꽁초, 잡쓰레기 무단투기"
이촌1동-2,서울특별시 용산구 이촌로 77길 9,"상업지역, 학교 담 옆, 우체국 앞, 쓰레기봉투 미사용, 혼합배출  등"
이촌1동-3,서울특별시 용산구 이촌로65가길 3,"담배꽁초, 거주자우선 주차구역에 주차 후 차량의 잡쓰레기(음식물)무단투기"
이촌1동-4,서울특별시 용산구 이촌로 200,대형생활폐기물 및 잡쓰레기 무단투기
이촌1동-5,서울특별시 용산구 이촌역 4번 출구,"담배꽁초, 잡쓰레기무단투기"
이촌1동-6,서울특별시 용산구 이촌역 3-1번 출구,"담배꽁초, 잡쓰레기무단투기"
이촌1동-7,서울특별시 용산구 이촌로 181,"담배꽁초, 불법주차 후 차량의 잡쓰레기무단투기"
이촌2동-1,서울특별시 용산구 이촌로22길 20,"의류수거함 옆 주거밀집지역, 편의점 앞"
이촌2동-2,서울특별시 용산구 이촌로18길 15-5,"주거지역, 쓰레기 수거 거점지역, 유동인구 많음"
이촌2동-3,서울특별시 용산구 이촌로18길 6,"버스정류장 앞, 도로변 옆, 유동인구 많음"
이촌2동-4,서울특별시 용산구 이촌로 70,"주거밀집지역, 쓰레기수거 거점지역"
이촌2동-5,서울특별시 용산구 이촌로14길16,"주거밀집지역, 쓰레기수거 거점지역"
이태원1동-1,서울특별시 용산구 이태원로20길 2-12,"상업지역, 쓰레기 수거 거점지역"
이태원1동-2,서울특별시 용산구 이태원로 179,"상업지역, 쓰레기 수거 거점지역"
이태원1동-3,서울특별시 용산구 이태원동 118-74,"상업지역, 쓰레기 수거 거점지역"
이태원1동-4,서울특별시 용산구 이태원로16길 41,"다수외국인 거주지역, 다세대건물 외부주차공간"
이태원1동-5,서울특별시 용산구 녹사평대로26길 82,"도로맨홀, 막다른 골목길"
이태원1동-6,서울특별시 용산구 녹사평대로40다길 43 ,쓰레기 수거 거점지역
이태원1동-7,서울특별시 용산구 이태원로16길 19,세입자 거주지역
이태원1동-8,서울특별시 용산구 이태원로20길 26 ,쓰레기 수거 거점지역
이태원1동-9,서울특별시 용산구 녹사평대로26길 51,쓰레기 수거 거점지역
이태원1동-10,서울특별시 용산구 녹사평대로26길 43,쓰레기 수거 거점지역
이태원1동-11,서울특별시 용산구 녹사평대로26길 92,"쓰레기 수거 거점지역, 막다른 골목길"
이태원제2동-1,서울특별시 용산구 용산구 소월로38가길 8,전신주옆
이태원제2동-2,서울특별시 용산구 용산구 소월로40길 56,쓰레기 수거 거점지역 
이태원제2동-3,서울특별시 용산구 용산구 회나무로13나길 22-5,전신주옆
이태원제2동-4,서울특별시 용산구 용산구 회나무로 14,상업지역
이태원제2동-5,서울특별시 용산구 용산구 회나무로 30,상업지역
이태원제2동-6,서울특별시 용산구 용산구 회나무로28길 45,쓰레기 수거 거점지역 
이태원제2동-7,서울특별시 용산구 용산구 녹사평대로46길 65,전신주옆
이태원제2동-8,서울특별시 용산구 용산구 녹사평대로46가길 31,전신주옆
이태원제2동-9,서울특별시 용산구 용산구 녹사평대로40다길 29,쓰레기 수거 거점지역 
한남동-1,서울특별시 용산구 대사관로24길 8,"상업지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-2,서울특별시 용산구 대사관로 59,담배꽁초 무단투기 상습지역
한남동-3,서울특별시 용산구 우사단로10길 39,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-4,서울특별시 용산구 우사단로10길 42,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-5,서울특별시 용산구 우사단로10길 53,"외국인 밀집지역, 전신주옆 등"
한남동-6,서울특별시 용산구 우사단로10길 67,외국인 밀집지역 등
한남동-7,서울특별시 용산구 우사단로10길 99,"외국인 밀집지역, 전신주옆 등"
한남동-8,서울특별시 용산구 우사단로10나길 7,외국인 밀집지역 등
한남동-9,서울특별시 용산구 우사단로10다길 8,"외국인 밀집지역, 전신주옆 등"
한남동-10,서울특별시 용산구 우사단로10다길 24,외국인 밀집지역 등
한남동-11,서울특별시 용산구 우사단로10다길 48,"외국인 밀집지역, 쓰레기 수거 거점지역 등"
한남동-12,서울특별시 용산구 우사단로10라길 25,"외국인 밀집지역, 전신주옆 등"
한남동-13,서울특별시 용산구 우사단로14길 25,"외국인 밀집지역, 전신주옆 등"
한남동-14,서울특별시 용산구 우사단로14길 69,"외국인 밀집지역, 전신주옆 등"
한남동-15,서울특별시 용산구 대사관로6길 31,외국인 밀집지역
한남동-16,서울특별시 용산구 대사관로6가길 23,외국인 밀집지역
한남동-17,서울특별시 용산구 대사관로6가길 49,"외국인 밀집지역, 전신주옆 등"
한남동-18,서울특별시 용산구 대사관로6가길 61,"외국인 밀집지역, 전신주옆 등"
한남동-19,서울특별시 용산구 대사관로30가길 31,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-20,서울특별시 용산구 대사관로30가길 1,외국인 밀집지역 등
한남동-21,서울특별시 용산구 대사관로30가길 10,쓰레기 수거 거점지역 등
한남동-22,서울특별시 용산구 대사관로30나길 12,"외국인 밀집지역, 전신주옆 등"
한남동-23,서울특별시 용산구 대사관로30나길 30,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-24,서울특별시 용산구 대사관로34나길 11-2,"외국인 밀집지역, 전신주옆 등"
한남동-25,서울특별시 용산구 대사관로34나길 38,"외국인 밀집지역, 전신주옆 등"
한남동-26,서울특별시 용산구 장문로49길 6,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-27,서울특별시 용산구 장문로49길 56,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-28,서울특별시 용산구 장문로49길 76,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등"
한남동-29,서울특별시 용산구 장문로49길 104,"외국인 밀집지역, 전신주옆 등"
한남동-30,서울특별시 용산구 장문로51길 12,전신주옆 등
한남동-31,서울특별시 용산구 독서당로3길 7,전신주옆 등
한남동-32,서울특별시 용산구 독서당로5길 11,전신주옆 등
한남동-33,서울특별시 용산구 이태원로 220,담배꽁초 무단투기 상습지역
한남동-34,서울특별시 용산구 이태원로 222,담배꽁초 무단투기 상습지역
한남동-35,서울특별시 용산구 이태원로42길 34 ,전신주옆 등
한남동-36,서울특별시 용산구 이태원로45길 7,"전신주옆, 쓰레기 수거 거점지역 등"
한남동-37,서울특별시 용산구 한남대로 164,"전신주옆, 쓰레기 수거 거점지역 등"
한남동-38,서울특별시 용산구 한남대로10길 60,"전신주옆, 쓰레기 수거 거점지역 등"
한남동-39,서울특별시 용산구 한남대로20길 51,전신주옆 등
한남동-40,서울특별시 용산구 독서당로 73,전신주옆 등
한남동-41,서울특별시 용산구 독서당로 78,전신주옆 등
한남동-42,서울특별시 용산구 한남대로42길 13,전신주옆 등
서빙고동-1,서울특별시 용산구 서빙고로 291,거주자 우선주차구역 주변
서빙고동-2,서울특별시 용산구 서빙고로65길 14,"전신주, 의류수거함 주변"
서빙고동-3,서울특별시 용산구 서빙고로65길 10,"전신주, 음식점 앞"
서빙고동-4,서울특별시 용산구 서빙고로65길 30,"전신주 옆, 쓰레기 수거 거점지역 "
서빙고동-5,서울특별시 용산구 서빙고로71길 29,"전신주 옆, 쓰레기 수거 거점지역 등"
서빙고동-6,서울특별시 용산구 서빙고로71길 41,다세대 주택 앞
서빙고동-7,서울특별시 용산구 서빙고로71길 65-2,"전신주 옆, 쓰레기 수거 거점지역"
서빙고동-8,서울특별시 용산구 서빙고로75길 34,다세대 주택 밀집
서빙고동-9,서울특별시 용산구 서빙고로75가길 23,경로당 주변
서빙고동-10,서울특별시 용산구 서빙고로79길 11,"전신주, 의류수거함 주변"
서빙고동-11,서울특별시 용산구 서빙고로79가길 32,전신주옆 등
서빙고동-12,서울특별시 용산구 서빙고로91가길 8,"전신주, 의류수거함 주변"
서빙고동-13,서울특별시 용산구 서빙고로91나길 16-4,다세대 주택 밀집 지역
서빙고동-14,서울특별시 용산구 서빙고로91나길 16-16,다세대 주택 밀집 지역
서빙고동-15,서울특별시 용산구 서빙고로91나길 43,"전신주 옆,  쓰레기 수거 거점지역 등"
